directory,file_name,variable_name,variable_type,description
data,choleramalawi.rda,epi_week,character,Epidemiological week of the calendar year (1 to 52)
data,choleramalawi.rda,week_start,character,Week number counted from the first week in the data (week 1 starts on 2022-02-28)
data,choleramalawi.rda,week,Date,Start date (Monday) of the week
data,choleramalawi.rda,cases,numeric,No. of recorded cases
data,choleramalawi.rda,deaths,numeric,No. of recorded deaths
data,choleramalawi.rda,c_cases,numeric,Cumulative cases since the start of the epidemic
data,choleramalawi.rda,c_deaths,numeric,Cumulative deaths since the start of the epidemic
data,choleramalawi.rda,district,character,District of Malawi for which the record is collected
