,,,Balaka,,,,Blantyre,,,,Chikwawa,,,,Chiradzulu,,,,Chitipa,,,,Dedza,,,,Dowa,,,,Karonga,,,,Kasungu,,,,Likoma,,,,Lilongwe,,,,Machinga,,,,Mangochi,,,,Mchinji,,,,Mulanje,,,,Mwanza,,,,Mzimba North,,,,Mzimba South,,,,Neno,,,,Nkhatabay,,,,Nkhotakota,,,,Nsanje,,,,Ntcheu,,,,Ntchisi,,,,Phalombe,,,,Rumphi,,,,Salima,,,,Thyolo,,,,Zomba,,,
Epi week,Week start,Week,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D,Cases,Deaths,Cumm C,Cumm D
9,1,28-Feb-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,07-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,14-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,21-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,28-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6,04-Apr-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,69,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7,11-Apr-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8,18-Apr-22,,,,,3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,73,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9,25-Apr-22,,,,,10,1,13,1,3,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,15,0,15,0,,,,,,,,,7,0,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,02-May-22,,,,,26,1,39,2,7,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,13,0,28,0,,,,,,,,,6,1,86,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,11,09-May-22,,,,,42,3,81,5,10,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,1,1,1,1,,,,,,,,,,,,,22,1,50,1,,,,,,,,,24,3,110,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12,16-May-22,,,,,38,2,119,7,10,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,,,,,,,0,0,1,1,,,,,,,,,,,,,23,0,73,1,,,,,,,,,43,1,153,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,13,23-May-22,9,1,9,1,56,2,175,9,15,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,2,12,2,,,,,,,,,0,0,1,1,,,,,,,,,,,,,16,0,89,1,,,,,,,,,25,0,178,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14,30-May-22,2,0,11,1,47,4,222,13,6,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12,2,,,,,,,,,0,0,1,1,,,,,,,,,,,,,3,0,92,1,,,,,,,,,15,1,193,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,15,06-Jun-22,10,2,21,2,38,2,260,15,6,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12,2,,,,,,,,,0,0,1,1,,,,,,,,,,,,,7,1,99,2,,,,,,,,,9,0,202,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,16,13-Jun-22,1,0,22,2,25,0,285,15,5,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,12,2,,,,,,,,,0,0,1,1,,,,,,,,,,,,,6,0,105,2,,,,,,,,,11,1,213,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17,20-Jun-22,0,0,22,0,16,0,301,15,5,0,69,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,12,2,1,0,1,1,,,,,0,0,1,1,,,,,,,,,,,,,7,0,112,2,,,,,,,,,6,0,219,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,18,27-Jun-22,0,0,22,0,18,0,319,15,4,1,73,1,3,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,12,2,0,0,1,1,,,,,0,0,1,1,,,,,,,,,,,,,6,0,118,2,,,,,,,,,13,2,232,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,19,04-Jul-22,0,0,22,0,34,2,353,17,10,0,83,1,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,12,2,0,0,1,1,,,,,1,1,2,2,,,,,,,,,,,,,1,0,119,2,,,,,,,,,9,0,241,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20,11-Jul-22,0,0,22,0,44,1,397,18,6,0,89,1,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,13,2,0,0,1,1,,,,,1,0,3,2,,,,,,,,,,,,,4,0,123,2,,,,,,,,,6,0,247,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,21,18-Jul-22,0,0,22,0,37,0,434,18,8,0,97,1,1,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,3,0,16,2,0,0,1,1,,,,,0,0,3,2,,,,,,,,,,,,,1,0,124,2,,,,,,,,,11,0,258,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,22,25-Jul-22,0,0,22,0,21,0,455,18,19,0,116,1,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,16,2,0,0,1,1,,,,,0,0,3,2,,,,,,,,,,,,,2,0,126,2,,,,,,,,,7,1,265,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,23,01-Aug-22,0,0,22,0,15,1,470,19,13,0,129,1,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,0,0,16,2,0,0,1,1,,,,,0,0,3,2,,,,,,,,,,,,,0,0,126,2,2,2,2,2,,,,,8,0,273,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,24,08-Aug-22,0,0,22,0,40,2,510,21,0,0,129,1,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,0,0,16,2,0,0,1,1,,,,,0,0,3,2,,,,,,,,,,,,,0,0,126,2,59,3,61,5,6,0,6,0,0,0,273,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,25,15-Aug-22,0,0,22,0,25,0,535,21,0,0,129,1,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,1,0,0,16,2,0,0,1,1,,,,,0,0,3,2,,,,,,,,,,,,,0,0,126,2,315,5,376,10,41,2,47,2,2,1,275,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,26,22-Aug-22,0,0,22,0,18,0,553,21,2,0,131,1,0,0,5,0,,,,,,,,,,,,,2,0,2,0,,,,,,,,,0,0,3,1,5,2,21,4,0,0,1,1,,,,,0,0,3,2,,,,,1,0,1,0,,,,,0,0,126,2,144,3,520,13,55,1,102,3,0,0,275,14,,,,,,,,,,,,,5,1,5,1,,,,,,,,,1,0,1,0
35,27,29-Aug-22,1,0,23,0,21,0,574,21,12,2,143,3,0,0,5,0,,,,,,,,,,,,,65,3,67,3,2,0,2,0,,,,,1,0,4,1,1,0,22,4,0,0,1,1,,,,,0,0,3,2,1,0,1,0,40,0,41,0,,,,,0,0,126,2,99,2,619,15,130,1,232,4,0,0,275,14,,,,,,,,,,,,,36,1,41,2,,,,,,,,,0,0,1,0
36,28,05-Sep-22,0,0,23,0,8,1,582,22,20,1,163,4,0,0,5,0,,,,,,,,,,,,,70,1,137,4,0,1,2,1,,,,,0,0,4,1,0,0,22,4,0,0,1,1,,,,,2,0,5,2,2,0,3,0,223,1,264,1,4,0,4,0,1,0,127,2,42,0,661,15,42,2,274,6,0,0,275,14,,,,,,,,,,,,,200,2,241,4,,,,,,,,,0,0,1,0
37,29,12-Sep-22,0,0,23,0,23,1,605,23,7,0,170,4,3,0,8,0,,,,,,,,,,,,,61,1,198,5,0,0,2,1,12,1,12,1,1,0,5,1,0,0,22,4,0,0,1,1,,,,,1,0,6,2,5,0,8,0,37,0,301,1,2,1,6,1,1,0,128,2,40,0,701,15,51,2,325,8,0,0,275,14,,,,,,,,,,,,,89,4,330,8,,,,,,,,,1,0,2,0
38,30,19-Sep-22,5,0,28,0,17,1,622,24,3,0,173,4,0,0,8,0,,,,,,,,,,,,,83,0,281,5,2,0,4,1,19,1,31,2,0,0,5,1,0,0,22,4,0,0,1,1,,,,,0,0,6,2,1,0,9,0,32,0,333,1,1,0,7,1,5,0,133,2,50,2,751,17,24,3,349,11,2,0,277,14,1,0,1,0,,,,,,,,,57,2,387,10,,,,,,,,,0,0,2,0
39,31,26-Sep-22,2,0,30,0,23,1,645,25,7,0,180,4,0,0,8,0,,,,,,,,,,,,,129,2,410,7,0,0,4,1,8,0,39,2,0,0,5,1,1,0,23,4,5,1,6,2,,,,,0,0,6,2,4,1,13,1,48,0,381,1,0,0,7,1,7,0,140,2,107,4,858,21,47,2,396,13,3,0,280,14,3,0,4,0,,,,,,,,,61,1,448,11,,,,,,,,,1,0,3,0
40,32,03-Oct-22,6,0,36,0,32,1,677,26,6,0,186,4,2,0,10,0,,,,,,,,,,,,,194,5,604,12,0,0,4,1,21,0,60,2,1,0,6,1,1,0,24,4,10,0,16,2,,,,,0,0,6,2,2,0,15,1,22,0,403,1,0,0,7,1,4,1,144,3,107,3,965,24,91,4,487,17,0,0,280,14,1,0,5,0,2,0,2,0,,,,,74,0,522,11,,,,,,,,,1,0,4,0
41,33,10-Oct-22,2,0,38,0,32,0,709,26,7,0,193,4,0,0,10,0,,,,,,,,,,,,,72,1,676,13,0,0,4,1,7,0,67,2,5,0,11,1,5,1,29,5,16,1,32,3,,,,,8,0,14,2,1,0,16,1,6,1,409,2,0,0,7,1,21,0,165,3,95,3,1060,27,127,13,614,30,1,0,281,14,9,0,14,0,1,0,3,0,,,,,45,0,567,11,91,0,91,0,,,,,0,0,4,0
42,34,17-Oct-22,7,0,45,0,9,1,718,27,8,0,201,4,0,0,10,0,,,,,,,,,,,,,117,3,793,16,3,0,7,1,8,0,75,2,10,0,21,1,1,0,30,5,17,0,49,3,,,,,17,1,31,3,4,0,20,1,14,0,423,2,0,0,7,1,10,1,175,4,59,4,1119,31,89,5,703,35,0,0,281,14,13,0,27,0,0,0,3,0,36,7,36,7,55,2,622,13,121,2,212,2,11,1,11,1,0,0,4,0
43,35,24-Oct-22,9,0,54,0,9,0,727,27,15,0,216,4,0,0,10,0,11,0,11,0,,,,,2,0,2,0,98,1,891,17,0,0,7,1,20,0,95,2,11,0,32,1,6,0,36,5,125,4,174,7,,,,,10,1,41,4,4,1,24,2,0,0,423,2,0,0,7,1,6,0,181,4,55,3,1174,34,88,5,791,40,0,0,281,14,4,0,31,0,1,0,4,0,4,0,40,7,70,1,692,14,126,1,338,3,28,0,39,1,0,0,4,0
44,36,31-Oct-22,3,0,57,0,7,0,734,27,1,0,217,4,0,0,10,0,15,0,26,0,,,,,2,0,4,0,100,0,991,17,0,0,7,1,25,0,120,2,9,5,41,6,5,0,41,5,296,7,470,14,2,0,2,0,2,1,43,5,2,0,26,2,0,0,423,2,0,0,7,1,6,0,187,4,138,5,1312,39,72,1,863,41,0,0,281,14,8,0,39,0,2,0,6,0,2,1,42,8,61,2,753,16,227,7,565,10,11,1,50,2,2,0,6,0
45,37,07-Nov-22,13,0,70,0,20,0,754,27,0,0,217,4,0,0,10,0,32,1,58,1,1,0,1,0,1,0,5,0,72,0,1063,17,1,0,8,1,8,0,128,2,17,1,58,7,6,1,47,6,325,11,795,25,1,0,3,0,0,0,43,5,4,0,30,2,28,0,451,2,0,0,7,1,3,0,190,4,80,3,1392,42,80,2,943,43,0,0,281,14,13,0,52,0,0,0,6,0,1,0,43,8,55,1,808,17,207,13,772,23,2,0,52,2,4,0,10,0
46,38,14-Nov-22,12,0,82,0,20,1,774,28,5,0,222,4,0,0,10,0,14,2,72,3,65,5,66,5,1,1,6,1,61,2,1124,19,0,0,8,1,5,0,133,2,25,4,83,11,10,0,57,6,238,4,1033,29,0,0,3,0,1,0,44,5,0,0,30,2,7,0,458,2,0,0,7,1,0,0,190,4,92,2,1484,44,92,2,1035,45,0,0,281,14,46,1,98,1,0,0,6,0,0,0,43,8,30,1,838,18,152,9,924,32,1,0,53,2,1,0,11,0
47,39,21-Nov-22,17,0,99,0,32,0,806,28,2,0,224,4,0,0,10,0,3,0,75,3,67,3,133,8,7,0,13,1,31,0,1155,19,1,0,9,1,1,0,134,2,75,15,158,26,10,0,67,6,696,8,1729,37,5,0,8,0,1,0,45,5,0,0,30,2,1,0,459,2,0,0,7,1,1,0,191,4,58,2,1542,46,51,1,1086,46,0,0,281,14,37,0,135,1,0,0,6,0,2,0,45,8,31,0,869,18,166,4,1090,36,11,0,64,2,0,0,11,0
48,40,28-Nov-22,5,0,104,0,55,2,861,30,0,0,224,4,8,0,18,0,9,0,84,3,40,0,173,8,0,0,13,1,70,1,1225,20,0,0,9,1,0,0,134,2,49,1,207,27,20,1,87,7,481,10,2210,47,10,1,18,1,9,0,54,5,0,0,30,2,4,0,463,2,0,0,7,1,0,0,191,4,30,2,1572,48,36,3,1122,49,1,0,282,14,45,4,180,5,0,0,6,0,0,0,45,8,18,0,887,18,158,1,1248,37,0,0,64,2,0,0,11,0
49,41,05-Dec-22,1,0,105,0,0,0,861,30,2,0,226,4,3,0,21,0,3,0,87,3,42,5,215,13,0,0,13,1,62,3,1287,23,0,0,9,1,0,0,134,2,70,5,277,32,16,0,103,7,622,6,2832,53,0,0,18,1,4,0,58,5,0,0,30,2,0,0,463,2,0,0,7,1,0,0,191,4,14,0,1586,48,25,0,1147,49,1,0,283,14,49,0,229,5,0,0,6,0,1,0,46,8,16,0,903,18,137,1,1385,38,2,0,66,2,0,0,11,0
50,42,12-Dec-22,22,0,127,0,207,10,1068,40,0,0,226,4,7,0,28,0,0,0,87,3,73,1,288,14,0,0,13,1,15,0,1302,23,0,0,9,1,0,0,134,2,183,17,460,49,21,0,124,7,419,14,3251,67,0,0,18,1,7,0,65,5,0,0,30,2,2,0,465,2,0,0,7,1,0,0,191,4,9,0,1595,48,10,0,1157,49,1,0,284,14,73,0,302,5,0,0,6,0,8,1,54,9,11,0,914,18,106,3,1491,41,0,0,66,2,1,0,12,0
51,43,19-Dec-22,16,0,143,0,468,29,1536,69,4,1,230,5,31,0,59,0,0,0,87,3,127,2,415,16,196,5,209,6,14,0,1316,23,0,0,9,1,0,0,134,2,224,22,684,71,59,7,183,14,330,7,3581,74,0,0,18,1,7,0,72,5,4,0,34,2,0,0,465,2,0,0,7,1,3,3,194,7,4,1,1599,49,11,0,1168,49,2,0,286,14,17,0,319,5,0,0,6,0,7,0,61,9,4,0,918,18,108,1,1599,42,11,0,77,2,3,0,15,0
52,44,26-Dec-22,60,2,203,2,777,24,2313,93,4,0,234,5,56,2,115,2,0,0,87,3,132,5,547,21,305,7,514,13,20,2,1336,25,0,0,9,1,3,0,137,2,511,33,1195,104,239,13,422,27,369,8,3950,82,1,0,19,1,52,3,124,8,8,1,42,3,0,0,465,2,0,0,7,1,9,0,203,7,10,0,1609,49,31,1,1199,50,3,0,289,14,47,0,366,5,0,0,6,0,5,0,66,9,0,0,918,18,185,6,1784,48,76,2,153,4,26,4,41,4
1,45,02-Jan-23,220,0,423,2,634,12,2947,105,8,1,242,6,64,4,179,6,0,0,87,3,116,7,663,28,119,6,633,19,13,0,1349,25,7,0,16,1,6,0,143,2,574,36,1769,140,382,8,804,35,518,7,4468,89,1,0,20,1,61,1,185,9,1,0,43,3,0,0,465,2,0,0,7,1,31,1,234,8,4,0,1613,49,8,1,1207,51,4,0,293,14,273,3,639,8,4,0,10,0,14,2,80,11,8,0,926,18,235,8,2019,56,175,4,328,8,72,4,113,8
2,46,09-Jan-23,296,9,719,9,811,2,3758,107,27,0,269,6,110,5,289,11,2,0,89,3,156,9,819,37,93,0,726,19,7,0,1356,25,5,0,21,1,15,0,158,2,770,39,2539,179,302,10,1106,45,531,1,4999,90,17,0,37,1,87,4,272,13,1,0,44,3,0,0,465,2,0,0,7,1,41,1,275,9,11,0,1624,49,15,0,1222,51,2,0,295,14,119,2,758,10,2,0,12,0,9,0,89,11,1,0,927,18,184,2,2203,58,184,4,512,12,133,4,246,12
3,47,16-Jan-23,453,13,1172,22,663,7,4421,114,42,1,311,7,155,7,444,18,1,0,90,3,137,15,956,52,56,2,782,21,7,0,1363,25,1,0,22,1,11,0,169,2,927,54,3466,233,266,6,1372,51,642,3,5641,93,1,0,38,1,144,9,416,22,4,1,48,4,3,0,468,2,0,0,7,1,44,0,319,9,1,0,1625,49,37,0,1259,51,9,1,304,15,151,1,909,11,4,0,16,0,21,0,110,11,1,0,928,18,197,1,2400,59,178,3,690,15,119,6,365,18
4,48,23-Jan-23,462,12,1634,25,674,17,5095,131,19,0,330,7,225,6,669,24,1,0,91,3,95,6,1051,58,72,0,854,21,6,0,1369,25,4,0,26,1,13,0,182,2,1198,57,4664,290,238,13,1610,64,636,14,6277,107,6,0,44,1,108,4,524,26,1,0,49,4,2,0,470,2,0,0,7,1,50,1,369,10,,,1625,49,28,0,1287,51,15,0,319,15,229,5,1138,16,1,0,17,0,20,0,130,11,,,928,18,174,6,2574,65,172,3,862,18,56,0,421,18
5,49,30-Jan-23,648,11,2282,23,627,17,5722,148,33,0,363,7,187,6,856,30,,,91,3,179,6,1230,64,137,7,991,28,4,0,1373,25,1,0,27,1,8,0,190,2,1338,76,6002,366,283,12,1893,76,518,5,6795,112,13,1,57,2,70,1,594,27,5,0,54,4,2,0,472,2,0,0,7,1,72,3,441,13,,,1625,49,20,1,1307,52,18,0,337,15,291,6,1429,22,11,0,28,0,38,0,168,11,,,928,18,218,6,2792,71,147,4,1009,22,42,2,463,20
